Type	EET-gene	Phylum	Normalised relative abundance (%)
Bulk	non	Firmicutes	0.158043018
Bulk	non	Firmicutes	0.130580231
Bulk	non	Firmicutes	0.319959038
Bulk	non	Firmicutes	0.254246852
Bulk	non	Firmicutes	0.056372383
Bulk	epili	Firmicutes	0.081643718
Bulk	non	Firmicutes	0.106075368
Bulk	epili	Firmicutes	0.221475748
Bulk	epili	Firmicutes	0.102345508
Bulk	MHC	Firmicutes	0.254745221
Bulk	non	Firmicutes	0.172334834
GAC	epili	Firmicutes	0.662427872
GAC	MHC	Firmicutes	0.514659176
GAC	non	Firmicutes	0.606749567
GAC	non	Firmicutes	0.498215769
GAC	epili	Firmicutes	0.547121825
GAC	non	Firmicutes	0.782809722
GAC	epili	Firmicutes	0.615333707
GAC	epili	Firmicutes	0.383685798
GAC	MHC	Firmicutes	0.465016276
GAC	non	Firmicutes	0.363184915
GAC	non	Firmicutes	0.387873378
GAC	MHC	Firmicutes	0.537090909
GAC	non	Firmicutes	0.357330226
GAC	non	Firmicutes	0.561231276
GAC	non	Firmicutes	0.44239897
GAC	epili	Firmicutes	0.241942359
GAC	non	Firmicutes	0.112578471
GAC	MHC	Firmicutes	0.138229916
GAC	non	Firmicutes	0.10914267
GAC	non	Firmicutes	0.112671195
GAC	non	Firmicutes	0.079535782
GAC	non	Firmicutes	0.124358164
GAC	non	Firmicutes	0.199760657
GAC	non	Firmicutes	0.087749789
GAC	epili	Firmicutes	0.108348883
GAC	non	Firmicutes	0.058744571
GAC	non	Firmicutes	0.092769079
Bulk	MHC	Firmicutes	0.637315379
Bulk	MHC	Firmicutes	1.519895552
Bulk	MHC	Firmicutes	1.007801364
Bulk	MHC	Firmicutes	0.309548232
Bulk	Both	Firmicutes	0.57640517
Bulk	Both	Firmicutes	1.502049831
Bulk	epili	Firmicutes	0.187523088
Bulk	non	Firmicutes	0.383814563
Bulk	MHC	Firmicutes	0.4692297
Bulk	non	Firmicutes	0.65577005
Bulk	epili	Firmicutes	0.099605322
GAC	non	Firmicutes	0.527188193
GAC	epili	Firmicutes	0.542984569
GAC	non	Firmicutes	0.488545354
GAC	non	Firmicutes	0.410586931
GAC	MHC	Firmicutes	0.700947173
GAC	MHC	Firmicutes	0.463083017
GAC	epili	Firmicutes	0.164335127
GAC	non	Firmicutes	0.089594662
GAC	MHC	Firmicutes	0.27501284
GAC	non	Firmicutes	0.099057126
GAC	MHC	Firmicutes	0.140627873
GAC	non	Firmicutes	0.088297306
GAC	epili	Firmicutes	0.188870874
GAC	epili	Firmicutes	0.066877582
GAC	epili	Firmicutes	1.112564937
Bulk	MHC	Firmicutes	0.091840983
GAC	epili	Firmicutes	0.529900638
Bulk	non	Halobacteriota	0.809284042
Bulk	non	Halobacteriota	0.120720291
Bulk	non	Halobacteriota	0.096620427
Bulk	non	Halobacteriota	0.082700056
Bulk	epili	Halobacteriota	0.282216458
Bulk	non	Halobacteriota	2.090897462
Bulk	non	Halobacteriota	1.581626515
Bulk	non	Halobacteriota	0.228286617
Bulk	epili	Halobacteriota	0.142500467
Bulk	non	Halobacteriota	4.178671457
GAC	non	Halobacteriota	1.327809255
GAC	Both	Halobacteriota	4.120969464
GAC	non	Halobacteriota	0.797317754
GAC	non	Halobacteriota	0.434927501
GAC	non	Halobacteriota	5.683790846
GAC	non	Halobacteriota	0.955468272
GAC	non	Halobacteriota	4.054603356
GAC	Both	Halobacteriota	1.852377408
GAC	non	Halobacteriota	1.062161322
GAC	non	Halobacteriota	1.980116052
GAC	non	Halobacteriota	1.298171134
GAC	non	Halobacteriota	4.657553439
GAC	non	Halobacteriota	2.566170125
GAC	Both	Halobacteriota	1.901613124
GAC	non	Halobacteriota	5.82959252
GAC	Both	Halobacteriota	1.279889496
GAC	non	Halobacteriota	4.229367855
GAC	non	Halobacteriota	0.408481247
GAC	non	Halobacteriota	9.410159211
GAC	non	Halobacteriota	0.917227301
GAC	non	Halobacteriota	5.339141523
GAC	non	Halobacteriota	0.129876514
GAC	Both	Halobacteriota	0.862498198
GAC	non	Halobacteriota	0.118279839
GAC	non	Halobacteriota	1.573744966
GAC	non	Halobacteriota	0.408928996
GAC	Both	Halobacteriota	0.124728032
GAC	non	Halobacteriota	0.090204056
GAC	non	Halobacteriota	9.707151223
GAC	non	Halobacteriota	0.06500468
GAC	non	Halobacteriota	0.082136757
GAC	epili	Halobacteriota	0.062693903
GAC	non	Halobacteriota	1.529407524
Bulk	epili	Other	1.168590111
Bulk	epili	Other	0.69858953
Bulk	Both	Other	0.090221879
Bulk	non	Other	0.106957945
Bulk	non	Other	0.082374917
Bulk	MHC	Other	0.374650653
Bulk	Both	Other	0.251336137
GAC	MHC	Other	0.285596635
Bulk	non	Other	0.072034867
Bulk	MHC	Other	0.095636103
Bulk	epili	Other	0.083230695
GAC	epili	Other	0.093982937
Bulk	non	Other	0.145693767
Bulk	non	Other	0.685786373
GAC	epili	Other	0.770002091
GAC	epili	Other	0.912454801
GAC	epili	Other	0.106504738
Bulk	non	Methanobacteriota	0.211874286
GAC	non	Methanobacteriota	0.156190914
GAC	non	Methanobacteriota	1.185462933
GAC	non	Methanobacteriota	3.439060754
GAC	non	Methanobacteriota	0.182604776
GAC	non	Methanobacteriota	0.386452321
Bulk	non	Methanobacteriota	0.157720054
Bulk	non	Methanobacteriota	0.260806907
GAC	non	Methanobacteriota	0.640118486
GAC	non	Methanobacteriota	0.496619062
Bulk	Both	Myxococcota	0.603618989
Bulk	epili	Myxococcota	0.419398677
Bulk	Both	Myxococcota	0.113223622
Bulk	Both	Myxococcota	0.378137084
GAC	Both	Myxococcota	1.182613309
GAC	Both	Myxococcota	0.780619154
GAC	MHC	Myxococcota	1.037037844
Bulk	non	Other	0.8883478
Bulk	non	Other	0.098969991
Bulk	epili	Omnitrophota	1.070260781
Bulk	epili	Omnitrophota	0.647363205
Bulk	epili	Omnitrophota	0.457569423
Bulk	epili	Omnitrophota	0.69707535
Bulk	epili	Omnitrophota	0.068544121
Bulk	epili	Omnitrophota	0.085422988
Bulk	epili	Omnitrophota	0.074853186
Bulk	epili	Patescibacteria	2.073659637
Bulk	epili	Patescibacteria	0.674062921
Bulk	epili	Patescibacteria	1.076150156
Bulk	epili	Patescibacteria	1.213076964
Bulk	non	Patescibacteria	0.972972517
Bulk	epili	Patescibacteria	0.903304085
Bulk	non	Patescibacteria	1.245545458
Bulk	non	Patescibacteria	4.788683679
Bulk	non	Patescibacteria	3.261580387
Bulk	epili	Patescibacteria	1.093483505
Bulk	epili	Patescibacteria	1.219913207
Bulk	non	Patescibacteria	2.713265477
Bulk	epili	Patescibacteria	1.186463488
